id,name,address,postalcode,lat,lng
74,Nicoll Highway MRT Station,20 Republic Avenue S(038970),Singapore (038970),1.2997208,103.8633996
75,Orchard MRT Station,437 Orchard Road S(238878),Singapore (238878),1.3042924,103.8324935
76,Outram MRT Station,10 Outram Road S(169037),Singapore (169037),1.2804483,103.8392738
77,Outram MRT Station (NE3),10 Eu Tong Sen Street S(059815),Singapore (059815),1.2888019,103.8468719
78,Promenade MRT Station,2 Tamasek Avenue S(039193),Singapore (039193),1.2932393,103.8610995
79,Raffles Place MRT Station,5 Raffles Place S(048618),Singapore (048618),1.2835947,103.851568
80,Tanjong Pagar MRT Station,120 Maxwell Road S(069119),Singapore (069119),1.2765001,103.8454988
81,Telok Ayer MRT Station (DT18),7 Cross Street S(048416),Singapore (048416),1.2812702,103.8502305
82,Woodleigh MRT Station (NE11),400 Upper Serangoon Road S(347695),Singapore (347695),1.368333,103.8937421
83,Marina South Pier,31 Marina Coastal Drive S(018988),Singapore (018988),1.2707176,103.8629867
84,Malabar Muslim Jamaath Mosque,471 Victoria Street S(198370),Singapore (198370),1.3052675,103.8598452
85,Lum Chang Building,14 Kung Chong Road S(159150),Singapore (159150),1.2896036,103.8128124
86,Palais Renaissance,390 Orchard Road S(238871),Singapore (238871),1.3068516,103.8298378
87,Wee Hur Construction Pte Ltd,39 Kim Keat Road Wee Hur Building S(328814),Singapore (328814),1.3251818,103.8536828
88,MTR 1924 Indian Restaurant,438 Serangoon Road S(218133),Singapore (218133),1.3131334,103.856602
89,Dawson Place Shopping Centre,57 Dawson Road S(142057),Singapore (142057),1.2925348,103.8113068
90,Liang Court,177B River Valley Road S(179032),Singapore (179032),1.2918707,103.8444901
91,New Bridge Centre,336 Smith Street S(050336),Singapore (050336),1.2830148,103.8427448
92,Palais Renaissance,390 Orchard Road Basement 1-Level 3 S(238871),Singapore (238871),1.3068516,103.8298378
93,Palais Renaissance,390 Orchard Road Basement 2 S(238871),Singapore (238871),1.3068516,103.8298378
94,Robertson Walk,11 Unity Street #02-20A S(237995),Singapore (237995),1.292023221,103.8414404
95,Square 2 Shopping Mall,10 Sinaran Drive S(307506),Singapore (307506),1.320732,103.8444396
96,The Central,6 Eu Tong Sen Street S(059817),Singapore (059817),1.2889806,103.8468686
97,The Shoppes at Marina Bay Sands,2 Bayfront Avenue S(018972),Singapore (018972),1.2848054,103.8590539
99,Tiong Bahru Plaza,302 Tiong Bahru Road S(168732),Singapore (168732),1.286308881,103.8271764
100,Valley Point Mall,491 River Valley Road S(248371),Singapore (248371),1.2930751,103.8267442
101,Custom House,80 Collyer Quay (049326),Singapore (049326),1.2846509,103.8536626
